sector,okved2,year,researchorg_s
Предоставление услуг в области добычи полезных ископаемых,09,2020,4
Предоставление услуг в области добычи полезных ископаемых,09,2021,4
Предоставление услуг в области добычи полезных ископаемых,09,2022,7
Предоставление услуг в области добычи полезных ископаемых,09,2023,6
Предоставление услуг в области добычи полезных ископаемых,09,2024,4
Предоставление услуг в области добычи нефти и природного газа,09.10,2024,4
"Предоставление услуг по бурению, связанному с добычей нефти, газа и газового конденсата",09.10.1,2024,1
Предоставление прочих услуг в области добычи нефти и природного газа,09.10.9,2024,3
Производство пищевых продуктов,10,2018,3
Производство пищевых продуктов,10,2019,5
Производство пищевых продуктов,10,2020,5
Производство пищевых продуктов,10,2021,7
Производство пищевых продуктов,10,2022,10
Производство пищевых продуктов,10,2023,8
Производство пищевых продуктов,10,2024,10
Производство молочной продукции,10.5,2024,2
Производство молока (кроме сырого) и молочной продукции,10.51,2024,2
Производство прочей молочной продукции,10.51.9,2024,2
Производство прочих пищевых продуктов,10.8,2024,6
"Производство прочих пищевых продуктов, не включенных в другие группировки",10.89,2024,6
"Производство растительных соков и экстрактов, пептических веществ, растительных клеев и загустителей",10.89.3,2024,1
Производство пищевых ферментов,10.89.4,2024,1
Производство биологически активных добавок к пище,10.89.8,2020,1
Производство биологически активных добавок к пище,10.89.8,2021,1
Производство биологически активных добавок к пище,10.89.8,2022,1
Производство биологически активных добавок к пище,10.89.8,2023,1
Производство биологически активных добавок к пище,10.89.8,2024,1
"Производство прочих продуктов питания, не включенных в другие группировки",10.89.9,2024,3
Производство готовых кормов для животных,10.9,2024,2
"Производство готовых кормов для животных, содержащихся на фермах",10.91,2024,1
"Производство кормового микробиологического белка, премиксов, кормовых витаминов, антибиотиков, аминокислот и ферментов",10.91.3,2021,1
"Производство кормового микробиологического белка, премиксов, кормовых витаминов, антибиотиков, аминокислот и ферментов",10.91.3,2022,1
"Производство кормового микробиологического белка, премиксов, кормовых витаминов, антибиотиков, аминокислот и ферментов",10.91.3,2023,1
"Производство кормового микробиологического белка, премиксов, кормовых витаминов, антибиотиков, аминокислот и ферментов",10.91.3,2024,1
Производство готовых кормов для непродуктивных животных,10.92,2024,1
Всего по обследуемым видам экономической деятельности,101.АГ,2018,3950
Всего по обследуемым видам экономической деятельности,101.АГ,2019,4051
Всего по обследуемым видам экономической деятельности,101.АГ,2020,4175
Всего по обследуемым видам экономической деятельности,101.АГ,2021,4175
Всего по обследуемым видам экономической деятельности,101.АГ,2022,4195
Всего по обследуемым видам экономической деятельности,101.АГ,2023,4125
Всего по обследуемым видам экономической деятельности,101.АГ,2024,4157
Промышленное производство (промышленность),102.АГ,2018,482
Производство напитков,11,2018,1
Производство напитков,11,2019,1
Производство напитков,11,2020,1
"Перегонка, очистка и смешивание спиртов",11.01,2018,1
"Перегонка, очистка и смешивание спиртов",11.01,2019,1
"Перегонка, очистка и смешивание спиртов",11.01,2020,1
Производство текстильных изделий,13,2018,6
Производство текстильных изделий,13,2019,4
Производство текстильных изделий,13,2020,5
Производство текстильных изделий,13,2021,5
Производство текстильных изделий,13,2022,5
Производство текстильных изделий,13,2023,4
Производство текстильных изделий,13,2024,4
Производство текстильных тканей,13.20,2018,2
Производство текстильных тканей,13.20,2019,1
Производство текстильных тканей,13.20,2020,1
Производство текстильных тканей,13.20,2023,1
Производство текстильных тканей,13.20,2024,1
"Производство тканей, за исключением специальных тканей, из химических комплексных нитей и штапельных волокон",13.20.3,2024,1
Производство прочих текстильных изделий,13.9,2024,3
"Производство готовых текстильных изделий, кроме одежды",13.92,2024,2
"Производство нетканых текстильных материалов и изделий из них, кроме одежды",13.95,2024,1
Собирательная классификационная группировка видов экономической деятельности в области деятельности творческих (креативных) индустрий на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029-2014 (КДЕС Ред. 2),13210000.029.02,2024,85
Сектор инжиниринговых услуг и промышленного дизайна,1323500.029.12,2018,20
Сектор инжиниринговых услуг и промышленного дизайна,1323500.029.12,2019,19
Сектор инжиниринговых услуг и промышленного дизайна,1323500.029.12,2020,15
Сектор инжиниринговых услуг и промышленного дизайна,1323500.029.12,2021,16
Сектор инжиниринговых услуг и промышленного дизайна,1323500.029.12,2022,19
Сектор инжиниринговых услуг и промышленного дизайна,1323500.029.12,2023,20
Сектор инжиниринговых услуг и промышленного дизайна,1323500.029.12,2024,20
"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",1323500.029.31,2019,522
"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",1323500.029.31,2020,539
"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",1323500.029.31,2021,544
"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",1323500.029.31,2022,591
"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",1323500.029.31,2023,601
"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",1323500.029.31,2024,649
Виды экономической деятельности в области промышленности строительных материалов,1323500.029.33,2018,11
Виды экономической деятельности в области промышленности строительных материалов,1323500.029.33,2019,11
Виды экономической деятельности в области промышленности строительных материалов,1323500.029.33,2020,12
Виды экономической деятельности в области промышленности строительных материалов,1323500.029.33,2021,14
Виды экономической деятельности в области промышленности строительных материалов,1323500.029.33,2022,13
Виды экономической деятельности в области промышленности строительных материалов,1323500.029.33,2023,13
Виды экономической деятельности в области промышленности строительных материалов,1323500.029.33,2024,15
"Собирательная классификационная группировка видов экономической деятельности в области лазерных, оптических и оптоэлектронных технологий (фотоники) на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД 2) ОК 029-2014 (КДЕС Ред.2)",1323500.029.36,2024,10
Сектор информационно,1324500.029.01,2018,110
Сектор информационно-коммуникационных технологий,1324500.029.01,2019,111
Сектор информационно-коммуникационных технологий,1324500.029.01,2020,129
Сектор информационно-коммуникационных технологий,1324500.029.01,2021,120
Сектор информационно-коммуникационных технологий,1324500.029.01,2022,129
Сектор информационно-коммуникационных технологий,1324500.029.01,2023,131
Сектор информационно-коммуникационных технологий,1324500.029.01,2024,160
Сектор контента и средств массовой информации,1324500.029.02,2018,2
Сектор контента и средств массовой информации,1324500.029.02,2019,1
Сектор контента и средств массовой информации,1324500.029.02,2020,2
Сектор контента и средств массовой информации,1324500.029.02,2021,4
Сектор контента и средств массовой информации,1324500.029.02,2022,3
Сектор контента и средств массовой информации,1324500.029.02,2023,3
Сектор контента и средств массовой информации,1324500.029.02,2024,2
Отрасль информационных технологий,1324500.029.11,2018,35
Отрасль информационных технологий,1324500.029.11,2019,40
Отрасль информационных технологий,1324500.029.11,2020,51
Отрасль информационных технологий,1324500.029.11,2021,43
Отрасль информационных технологий,1324500.029.11,2022,40
Отрасль информационных технологий,1324500.029.11,2023,40
Отрасль информационных технологий,1324500.029.11,2024,51
"Собирательная классификационная группировка видов экономической деятельности ""Агропромышленный комплекс"" на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029",1325000.029.01,2018,1977
"Собирательная классификационная группировка видов экономической деятельности ""Агропромышленный комплекс"" на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029-2014 (КДЕС Ред.2)",1325000.029.01,2019,1948
"Собирательная классификационная группировка видов экономической деятельности ""Агропромышленный комплекс"" на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029-2014 (КДЕС Ред.2)",1325000.029.01,2020,1980
"Собирательная классификационная группировка видов экономической деятельности ""Агропромышленный комплекс"" на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029-2014 (КДЕС Ред.2)",1325000.029.01,2021,1977
"Собирательная классификационная группировка видов экономической деятельности ""Агропромышленный комплекс"" на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029-2014 (КДЕС Ред.2)",1325000.029.01,2022,1969
"Собирательная классификационная группировка видов экономической деятельности ""Агропромышленный комплекс"" на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029-2014 (КДЕС Ред.2)",1325000.029.01,2023,1925
"Собирательная классификационная группировка видов экономической деятельности ""Агропромышленный комплекс"" на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029-2014 (КДЕС Ред.2)",1325000.029.01,2024,1908
Наукоемкие виды экономической деятельности.,136.АГ,2024,3435
Производство одежды,14,2018,2
Производство одежды,14,2019,1
Производство одежды,14,2021,2
Производство одежды,14,2022,2
Производство одежды,14,2023,2
Производство одежды,14,2024,4
"Производство одежды, кроме одежды из меха",14.1,2018,2
"Производство одежды, кроме одежды из меха",14.1,2019,1
"Производство одежды, кроме одежды из меха",14.1,2021,2
"Производство одежды, кроме одежды из меха",14.1,2022,2
"Производство одежды, кроме одежды из меха",14.1,2023,2
"Производство одежды, кроме одежды из меха",14.1,2024,4
Производство спецодежды,14.12,2024,4
Производство кожи и изделий из кожи,15,2018,1
Производство кожи и изделий из кожи,15,2019,1
"Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",16,2018,2
Производство бумаги и бумажных изделий,17,2018,1
Производство бумаги и бумажных изделий,17,2019,1
Производство бумаги и бумажных изделий,17,2021,1
Производство бумаги и бумажных изделий,17,2022,1
Производство бумаги и бумажных изделий,17,2024,1
"Производство целлюлозы, древесной массы, бумаги и картона",17.1,2024,1
Производство бумаги и картона,17.12,2024,1
Производство бумаги,17.12.1,2024,1
Деятельность полиграфическая и копирование носителей информации,18,2018,2
Деятельность полиграфическая и копирование носителей информации,18,2019,1
Деятельность полиграфическая и копирование носителей информации,18,2020,1
Деятельность полиграфическая и копирование носителей информации,18,2021,1
Деятельность полиграфическая и копирование носителей информации,18,2022,1
Деятельность полиграфическая и копирование носителей информации,18,2023,2
Производство кокса и нефтепродуктов,19,2018,5
Производство кокса и нефтепродуктов,19,2019,5
Производство кокса и нефтепродуктов,19,2020,2
Производство кокса и нефтепродуктов,19,2021,2
Производство кокса и нефтепродуктов,19,2022,3
Производство кокса и нефтепродуктов,19,2023,3
Производство кокса и нефтепродуктов,19,2024,2
Производство нефтепродуктов,19.20,2024,2
Производство жидкого топлива,19.20.1,2024,1
Производство прочих нефтепродуктов,19.20.9,2019,1
Производство прочих нефтепродуктов,19.20.9,2021,1
Производство прочих нефтепродуктов,19.20.9,2022,2
Производство прочих нефтепродуктов,19.20.9,2023,2
Производство прочих нефтепродуктов,19.20.9,2024,1
Производство химических веществ и химических продуктов,20,2018,44
Производство химических веществ и химических продуктов,20,2019,51
Производство химических веществ и химических продуктов,20,2020,52
Производство химических веществ и химических продуктов,20,2021,52
Производство химических веществ и химических продуктов,20,2022,50
Производство химических веществ и химических продуктов,20,2023,46
Производство химических веществ и химических продуктов,20,2024,52
"Производство химических продуктов, не включенных в другие группировки",20.05.АГ,2018,11
"Производство химических продуктов, не включенных в другие группировки",20.05.АГ,2019,13
"Производство химических продуктов, не включенных в другие группировки",20.05.АГ,2020,16
"Производство химических продуктов, не включенных в другие группировки",20.05.АГ,2024,15
"Производство прочих химических продуктов, за исключением взрывчатых веществ",20.09.АГ,2018,11
"Производство прочих химических продуктов, за исключением взрывчатых веществ",20.09.АГ,2019,13
"Производство прочих химических продуктов, за исключением взрывчатых веществ",20.09.АГ,2020,16
"Производство прочих химических продуктов, за исключением взрывчатых веществ",20.09.АГ,2021,13
"Производство прочих химических продуктов, за исключением взрывчатых веществ",20.09.АГ,2022,16
"Производство прочих химических продуктов, за исключением взрывчатых веществ",20.09.АГ,2023,15
"Производство прочих химических продуктов, за исключением взрывчатых веществ",20.09.АГ,2024,15
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2018,21
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2019,25
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2020,26
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2021,29
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2022,24
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2023,21
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2024,25
Производство красителей и пигментов,20.12,2024,1
Производство прочих основных неорганических химических веществ,20.13,2024,9
Производство прочих основных органических химических веществ,20.14,2024,4
Производство углеводородов и их производных,20.14.1,2024,1
Производство прочих химических органических основных веществ,20.14.7,2020,3
Производство прочих химических органических основных веществ,20.14.7,2021,3
Производство прочих химических органических основных веществ,20.14.7,2022,2
Производство прочих химических органических основных веществ,20.14.7,2023,2
Производство прочих химических органических основных веществ,20.14.7,2024,1
Производство удобрений и азотных соединений,20.15,2018,5
Производство удобрений и азотных соединений,20.15,2019,5
Производство удобрений и азотных соединений,20.15,2020,2
Производство удобрений и азотных соединений,20.15,2021,2
Производство удобрений и азотных соединений,20.15,2022,2
Производство удобрений и азотных соединений,20.15,2023,2
Производство удобрений и азотных соединений,20.15,2024,3
Производство азотных минеральных или химических удобрений,20.15.3,2024,2
"Производство удобрений, не включенных в другие группировки",20.15.7,2024,1
Производство пластмасс и синтетических смол в первичных формах,20.16,2024,6
Производство синтетического каучука в первичных формах,20.17,2024,2
Среднетехнологичные высокого уровня виды деятельности,20.27.01.АГ,2024,257
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2018,5
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2019,7
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2020,6
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2021,5
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2022,5
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2023,5
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.30,2024,5
Производство красок и лаков на основе полимеров,20.30.1,2024,3
"Производство прочих красок, лаков, эмалей и аналогичных материалов для нанесения покрытий, художественных и полиграфических красок",20.30.2,2024,2
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2018,6
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2019,5
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2020,4
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2021,4
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2022,4
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2023,4
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2024,6
"Производство мыла и моющих, чистящих и полирующих средств",20.41,2024,5
"Производство органических поверхностно-активных веществ, кроме мыла",20.41.2,2024,4
"Производство мыла и моющих средств, чистящих и полирующих средств",20.41.3,2024,1
Производство парфюмерных и косметических средств,20.42,2024,1
Производство прочих химических продуктов,20.5,2018,11
Производство прочих химических продуктов,20.5,2019,13
Производство прочих химических продуктов,20.5,2020,16
Производство прочих химических продуктов,20.5,2021,13
Производство прочих химических продуктов,20.5,2022,16
Производство прочих химических продуктов,20.5,2023,15
Производство прочих химических продуктов,20.5,2024,15
Производство химических волокон,20.6,2018,1
Производство химических волокон,20.6,2019,1
Производство химических волокон,20.6,2021,1
Производство химических волокон,20.6,2022,1
Производство химических волокон,20.6,2023,1
Производство химических волокон,20.60,2024,1
Производство синтетических волокон,20.60.1,2024,1
"Производство лекарственных средств и материалов, применяемых в медицинских целях",21,2018,26
"Производство лекарственных средств и материалов, применяемых в медицинских целях",21,2019,31
"Производство лекарственных средств и материалов, применяемых в медицинских целях",21,2020,36
"Производство лекарственных средств и материалов, применяемых в медицинских целях",21,2021,36
"Производство лекарственных средств и материалов, применяемых в медицинских целях и ветеринарии",21,2022,35
"Производство лекарственных средств и материалов, применяемых в медицинских целях и ветеринарии",21,2023,38
"Производство лекарственных средств и материалов, применяемых в медицинских целях и ветеринарии",21,2024,37
Производство фармацевтических субстанций,21.1,2018,3
Производство фармацевтических субстанций,21.10,2019,2
Производство фармацевтических субстанций,21.10,2020,1
Производство фармацевтических субстанций,21.10,2021,2
Производство фармацевтических субстанций,21.10,2022,5
Производство фармацевтических субстанций,21.10,2023,7
Производство фармацевтических субстанций,21.10,2024,4
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях",21.2,2018,23
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях",21.20,2019,29
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях",21.20,2020,35
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях",21.20,2021,34
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях и ветеринарии",21.20,2022,30
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях и ветеринарии",21.20,2023,31
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях и ветеринарии",21.20,2024,33
Производство лекарственных препаратов для медицинского применения,21.20.1,2024,26
"Производство материалов, применяемых в медицинских целях",21.20.2,2024,6
Высокотехнологичные виды деятельности,21.26.01.АГ,2024,287
Производство резиновых и пластмассовых изделий,22,2018,7
Производство резиновых и пластмассовых изделий,22,2019,7
Производство резиновых и пластмассовых изделий,22,2020,8
Производство резиновых и пластмассовых изделий,22,2021,7
Производство резиновых и пластмассовых изделий,22,2022,6
Производство резиновых и пластмассовых изделий,22,2023,9
Производство резиновых и пластмассовых изделий,22,2024,10
Производство резиновых изделий,22.1,2018,4
Производство резиновых изделий,22.1,2019,5
Производство резиновых изделий,22.1,2020,5
Производство резиновых изделий,22.1,2021,5
Производство резиновых изделий,22.1,2022,4
Производство резиновых изделий,22.1,2023,4
Производство резиновых изделий,22.1,2024,4
"Производство резиновых шин, покрышек и камер; восстановление резиновых шин и покрышек",22.11,2024,1
Производство прочих резиновых изделий,22.19,2024,3
"Производство труб, трубок, рукавов и шлангов из вулканизированной резины",22.19.3,2024,2
"Производство изделий из вулканизированной резины, не включенных в другие группировки",22.19.7,2024,1
Производство изделий из пластмасс,22.2,2024,6
"Производство пластмассовых плит, полос, труб и профилей",22.21,2024,2
Производство пластмассовых изделий для упаковывания товаров,22.22,2024,1
"Производство пластмассовых изделий, используемых в строительстве",22.23,2021,1
"Производство пластмассовых изделий, используемых в строительстве",22.23,2022,1
"Производство пластмассовых изделий, используемых в строительстве",22.23,2023,1
"Производство пластмассовых изделий, используемых в строительстве",22.23,2024,1
Производство прочих пластмассовых изделий,22.29,2024,2
"Производство прочих изделий из пластмасс, не включенных в другие группировки, кроме устройств пломбировочных из пластика",22.29.2,2024,1
Производство прочей неметаллической минеральной продукции,23,2018,7
Производство прочей неметаллической минеральной продукции,23,2019,9
Производство прочей неметаллической минеральной продукции,23,2020,9
Производство прочей неметаллической минеральной продукции,23,2021,9
Производство прочей неметаллической минеральной продукции,23,2022,7
Производство прочей неметаллической минеральной продукции,23,2023,8
Производство прочей неметаллической минеральной продукции,23,2024,10
Производство стекла и изделий из стекла,23.1,2024,3
Производство листового стекла,23.11,2019,1
Производство листового стекла,23.11,2020,1
Производство листового стекла,23.11,2021,1
Производство листового стекла,23.11,2022,1
Производство листового стекла,23.11,2023,1
Производство листового стекла,23.11,2024,1
Производство листового окрашенного стекла,23.11.3,2019,1
"Производство листового узорчатого, прокатного (но не обработанного другим способом): армированного стекла",23.11.3,2020,1
