sector,okved2,year,RDcosts_s
Производство резиновых изделий,22.1,2021,288.3963
Производство резиновых изделий,22.1,2022,273.5822
Производство резиновых изделий,22.1,2023,403.3224
Производство резиновых изделий,22.1,2024,441.3852
"Производство резиновых шин, покрышек и камер; восстановление резиновых шин и покрышек",22.11,2024,
Производство прочих резиновых изделий,22.19,2024,232.0595
"Производство труб, трубок, рукавов и шлангов из вулканизированной резины",22.19.3,2024,
"Производство изделий из вулканизированной резины, не включенных в другие группировки",22.19.7,2024,
Производство изделий из пластмасс,22.2,2024,146.5368
"Производство пластмассовых плит, полос, труб и профилей",22.21,2024,
Производство пластмассовых изделий для упаковывания товаров,22.22,2024,
"Производство пластмассовых изделий, используемых в строительстве",22.23,2023,
"Производство пластмассовых изделий, используемых в строительстве",22.23,2024,
Производство прочих пластмассовых изделий,22.29,2024,
"Производство прочих изделий из пластмасс, не включенных в другие группировки, кроме устройств пломбировочных из пластика",22.29.2,2024,
Производство прочей неметаллической минеральной продукции,23,2017,1264.9563
Производство прочей неметаллической минеральной продукции,23,2018,673.8747
Производство прочей неметаллической минеральной продукции,23,2019,1747.607
Производство прочей неметаллической минеральной продукции,23,2020,1251.5522
Производство прочей неметаллической минеральной продукции,23,2021,2330.8184
Производство прочей неметаллической минеральной продукции,23,2022,2042.6602
Производство прочей неметаллической минеральной продукции,23,2023,2290.3057000000003
Производство прочей неметаллической минеральной продукции,23,2024,1053.7616
Производство стекла и изделий из стекла,23.1,2024,177.4243
Производство листового стекла,23.11,2019,
Производство листового стекла,23.11,2020,
Производство листового стекла,23.11,2021,
Производство листового стекла,23.11,2022,
Производство листового стекла,23.11,2023,
Производство листового стекла,23.11,2024,
Производство листового окрашенного стекла,23.11.3,2019,
Производство листового окрашенного стекла,23.11.3,2020,
Производство листового окрашенного стекла,23.11.3,2021,
Производство листового окрашенного стекла,23.11.3,2022,
"Производство листового узорчатого, прокатного (но не обработанного другим способом): армированного стекла",23.11.3,2023,
"Производство листового узорчатого, прокатного (но не обработанного другим способом): армированного стекла",23.11.3,2024,
Формирование и обработка листового стекла,23.12,2019,
Формирование и обработка листового стекла,23.12,2020,
Формирование и обработка листового стекла,23.12,2021,
Формирование и обработка листового стекла,23.12,2023,
Формирование и обработка листового стекла,23.12,2024,
Производство многослойного и закаленного стекла,23.12.1,2019,
Производство многослойного и закаленного стекла,23.12.1,2020,
Производство многослойного и закаленного стекла,23.12.1,2021,
Производство упрочненного (в том числе термически упрочненного и закаленного) стекла,23.12.1,2023,
Производство упрочненного (в том числе термически упрочненного и закаленного) стекла,23.12.1,2024,
Производство стекловолокна,23.14,2019,
Производство стекловолокна,23.14,2020,
Производство стекловолокна,23.14,2021,
Производство стекловолокна,23.14,2022,
Производство стекловолокна,23.14,2023,
Производство стекловолокна,23.14,2024,
Производство огнеупорных изделий,23.20,2019,
Производство огнеупорных изделий,23.20,2020,199.4187
Производство огнеупорных изделий,23.20,2021,214.3921
Производство огнеупорных изделий,23.20,2022,
Производство огнеупорных изделий,23.20,2023,
Производство огнеупорных изделий,23.20,2024,139.2461
"Производство огнеупорных кирпичей, блоков, плиток",23.20.1,2019,
"Производство огнеупорных кирпичей, блоков, плиток",23.20.1,2020,
"Производство огнеупорных кирпичей, блоков, плиток",23.20.1,2021,
"Производство огнеупорных кирпичей, блоков, плиток",23.20.1,2022,
"Производство огнеупорных кирпичей, блоков, плиток",23.20.1,2023,
"Производство огнеупорных кирпичей, блоков, плиток",23.20.1,2024,
Производство прочих огнеупорных керамических изделий,23.20.9,2024,
Производство прочих фарфоровых и керамических изделий,23.4,2024,
Производство керамических изоляторов и изолирующей арматуры,23.43,2023,
Производство керамических изоляторов и изолирующей арматуры,23.43,2024,
Производство прочих технических керамических изделий,23.44,2024,
"Производство керамических изделий лабораторного, химического и промышленного назначения",23.44.1,2024,
"Производство изделий из бетона, цемента и гипса",23.6,2024,
Производство изделий из бетона для использования в строительстве,23.61,2024,
"Производство абразивных и неметаллических минеральных изделий, не включенных в другие группировки",23.9,2024,
"Производство прочей неметаллической минеральной продукции, не включенной в другие группировки",23.99,2019,
"Производство прочей неметаллической минеральной продукции, не включенной в другие группировки",23.99,2020,
"Производство прочей неметаллической минеральной продукции, не включенной в другие группировки",23.99,2021,
"Производство прочей неметаллической минеральной продукции, не включенной в другие группировки",23.99,2022,
"Производство прочей неметаллической минеральной продукции, не включенной в другие группировки",23.99,2023,
"Производство прочей неметаллической минеральной продукции, не включенной в другие группировки",23.99,2024,
Производство металлургическое,24,2017,3772.1925
Производство металлургическое,24,2018,3491.3355
Производство металлургическое,24,2019,3684.4626
Производство металлургическое,24,2020,3855.2693
Производство металлургическое,24,2021,4930.625099999999
Производство металлургическое,24,2022,7188.9378
Производство металлургическое,24,2023,6610.745400000001
Производство металлургическое,24,2024,8166.3315
Производство прочих цветных металлов; производство ядерного топлива,24.02.АГ,2017,1261.7443
Производство прочих цветных металлов; производство ядерного топлива,24.04.АГ,2018,1609.1298000000002
Производство прочих цветных металлов; производство ядерного топлива,24.04.АГ,2019,1367.8001000000002
Производство прочих цветных металлов; производство ядерного топлива,24.04.АГ,2020,1107.1601
Производство прочих цветных металлов; производство ядерного топлива,24.04.АГ,2024,3598.7828
"Производство чугуна, стали и ферросплавов",24.1,2017,344.1636
"Производство чугуна, стали и ферросплавов",24.1,2018,458.4765
"Производство чугуна, стали и ферросплавов",24.1,2019,925.1796
"Производство чугуна, стали и ферросплавов",24.1,2020,1249.8297
"Производство чугуна, стали и ферросплавов",24.1,2021,1401.6659
"Производство чугуна, стали и ферросплавов",24.1,2022,2566.883
"Производство чугуна, стали и ферросплавов",24.1,2023,2010.0911
"Производство чугуна, стали и ферросплавов",24.10,2024,2503.7995
Производство листового горячекатаного стального проката,24.10.3,2024,
Производство листового холоднокатаного стального проката,24.10.4,2024,
"Производство прочего проката из черных металлов, не включенного в другие группировки",24.10.9,2024,
"Производство стальных труб, полых профилей и фитингов",24.2,2017,1008.4625
"Производство стальных труб, полых профилей и фитингов",24.2,2018,397.5184
"Производство стальных труб, полых профилей и фитингов",24.2,2019,304.7234
"Производство стальных труб, полых профилей и фитингов",24.2,2020,397.4983
"Производство стальных труб, полых профилей и фитингов",24.2,2021,693.3039
"Производство стальных труб, полых профилей и фитингов",24.2,2022,1815.9932
"Производство стальных труб, полых профилей и фитингов",24.2,2023,1019.1892
"Производство стальных труб, полых профилей и фитингов",24.20,2024,890.2256
Производство бесшовных труб и пустотелых профилей,24.20.1,2019,
Производство бесшовных труб и пустотелых профилей,24.20.1,2020,
Производство бесшовных труб и пустотелых профилей,24.20.1,2021,
Производство бесшовных труб и пустотелых профилей,24.20.1,2022,
Производство бесшовных труб и пустотелых профилей,24.20.1,2023,
Производство бесшовных труб и пустотелых профилей,24.20.1,2024,
Производство сварных труб,24.20.2,2024,
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2017,2419.5664
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2018,2635.3406
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2019,2453.0049
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2020,2206.4247
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2021,2834.0638
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2022,2806.0616
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2023,3581.4651
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2024,4772.3064
Производство драгоценных металлов,24.41,2024,866.0809
Производство алюминия,24.42,2024,
"Производство свинца, цинка и олова",24.43,2024,
Производство цинка,24.43.2,2024,
Производство меди,24.44,2024,
Литье металлов,24.5,2019,
Литье металлов,24.5,2020,
Литье металлов,24.5,2021,
"Производство готовых металлических изделий, кроме машин и оборудования",25,2017,46934.3213
"Производство готовых металлических изделий, кроме машин и оборудования",25,2018,48123.7533
"Производство готовых металлических изделий, кроме машин и оборудования",25,2019,54067.139200000005
"Производство готовых металлических изделий, кроме машин и оборудования",25,2020,60303.4011
"Производство готовых металлических изделий, кроме машин и оборудования",25,2021,60523.8685
"Производство готовых металлических изделий, кроме машин и оборудования",25,2022,52112.8202
"Производство готовых металлических изделий, кроме машин и оборудования",25,2023,68703.43729999999
"Производство готовых металлических изделий, кроме машин и оборудования",25,2024,88988.4535
"Производство готовых металлических изделий, кроме машин, оборудования, оружия и боеприпасов",25.01.АГ,2024,6969.4433
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2017,41596.0709
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2018,45457.9664
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2019,50527.2782
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2020,46732.5064
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2024,82019.0102
Производство строительных металлических конструкций и изделий,25.1,2023,
Производство строительных металлических конструкций и изделий,25.1,2024,
"Производство строительных металлических конструкций, изделий и их частей",25.11,2023,
"Производство строительных металлических конструкций, изделий и их частей",25.11,2024,
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2017,
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2018,109.3457
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2019,725.513
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2020,303.2235
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2021,567.0251999999999
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2022,
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2023,
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2024,
Производство радиаторов и котлов центрального отопления,25.21,2024,
Производство радиаторов,25.21.1,2024,
Производство котлов центрального отопления,25.21.2,2024,
"Производство паровых котлов, кроме котлов центрального отопления",25.3,2017,
"Производство паровых котлов, кроме котлов центрального отопления",25.3,2018,
"Производство паровых котлов, кроме котлов центрального отопления",25.3,2019,
"Производство паровых котлов, кроме котлов центрального отопления",25.3,2020,
"Производство паровых котлов, кроме котлов центрального отопления",25.3,2021,
"Производство паровых котлов, кроме котлов центрального отопления",25.3,2022,
"Производство паровых котлов, кроме котлов центрального отопления",25.3,2023,
"Производство паровых котлов, кроме котлов центрального отопления",25.30,2024,
"Производство ядерных установок и их составных частей, в том числе для транспортных средств",25.30.2,2024,
"Производство частей ядерных установок, кроме устройств для разделения изотопов",25.30.22,2024,
"Ковка, прессование, штамповка и профилирование; изготовление изделий методом порошковой металлургии",25.5,2024,
"Ковка, прессование, штамповка и профилирование, изготовление изделий методом порошковой металлургии",25.50,2024,
Предоставление услуг по производству изделий методом порошковой металлургии,25.50.2,2024,
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2017,
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2018,86.14439999999999
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2019,109.2757
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2020,9405.9061
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2021,1726.3274
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2022,2274.1177
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2023,2062.2106
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2024,1387.3686
Обработка металлов и нанесение покрытий на металлы,25.61,2024,
Обработка металлических изделий механическая,25.62,2024,
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2017,
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2018,
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2019,35.131800000000005
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2020,
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2021,
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2022,
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2023,
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2024,
Производство инструмента,25.73,2024,
"Производство компьютеров, электронных и оптических изделий",26,2017,44071.385
"Производство компьютеров, электронных и оптических изделий",26,2018,53825.1495
"Производство компьютеров, электронных и оптических изделий",26,2019,39643.0157
"Производство компьютеров, электронных и оптических изделий",26,2020,57830.694200000005
"Производство компьютеров, электронных и оптических изделий",26,2021,56911.0934
"Производство компьютеров, электронных и оптических изделий",26,2022,56622.1407
"Производство компьютеров, электронных и оптических изделий",26,2023,80664.8017
"Производство компьютеров, электронных и оптических изделий",26,2024,110932.1017
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2017,10807.8963
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2018,6209.3275
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2019,7193.485
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2020,14307.6653
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2021,8409.7731
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2022,8695.715400000001
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2023,14257.3245
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2024,21727.9606
Производство элементов электронной аппаратуры,26.11,2024,21727.9606
Производство электронных вакуумных ламп и трубок и прочих электронных вакуумных приборов,26.11.1,2024,4452.3938
"Производство диодов, транзисторов и прочих полупроводниковых приборов, включая светоизлучающие диоды, пьезоэлектрические приборы и их части",26.11.2,2024,3833.9702
Производство интегральных электронных схем,26.11.3,2024,3542.0993
"Производство частей электронных ламп, трубок и прочих электронных компонентов, не включенных в другие группировки",26.11.9,2024,8211.1385
Производство компьютеров и периферийного оборудования,26.2,2017,123.3504
Производство компьютеров и периферийного оборудования,26.2,2018,
 Производство компьютеров и периферийного оборудования,26.20,2019,
 Производство компьютеров и периферийного оборудования,26.20,2020,589.3323
 Производство компьютеров и периферийного оборудования,26.20,2021,405.7498
 Производство компьютеров и периферийного оборудования,26.20,2022,4040.5814
Производство компьютеров и периферийного оборудования,26.20,2023,10717.052
Производство компьютеров и периферийного оборудования,26.20,2024,17805.8061
"Производство устройств автоматической обработки данных, информационных и телекоммуникационных систем",26.20.04.АГ,2019,
"Производство устройств автоматической обработки данных, информационных и телекоммуникационных систем",26.20.04.АГ,2020,
"Производство устройств автоматической обработки данных, информационных и телекоммуникационных систем",26.20.04.АГ,2024,2191.7953
Производство компьютеров,26.20.1,2024,15614.0108
Производство коммуникационного оборудования,26.3,2017,15537.1527
Производство коммуникационного оборудования,26.3,2018,32067.936100000003
Производство коммуникационного оборудования,26.30,2019,13859.633199999998
Производство коммуникационного оборудования,26.30,2020,17019.209899999998
Производство коммуникационного оборудования,26.30,2021,19000.1205
Производство коммуникационного оборудования,26.30,2022,17785.743
Производство коммуникационного оборудования,26.30,2023,12829.8022
Производство коммуникационного оборудования,26.30,2024,22506.2002
"Производство прочего коммуникационного оборудования, не включенного в другие группировки",26.30.01.АГ,2018,
"Производство прочего коммуникационного оборудования, не включенного в другие группировки",26.30.01.АГ,2019,
"Производство прочего коммуникационного оборудования, не включенного в другие группировки",26.30.01.АГ,2020,1706.8714
"Производство прочего коммуникационного оборудования, не включенного в другие группировки",26.30.01.АГ,2024,3915.7401
"Производство коммуникационной аппаратуры, радио- и телевизионной передающей аппаратуры, телевизионных камер",26.30.1,2024,20644.2084
"Производство средств связи, выполняющих функцию систем коммутации",26.30.11,2024,9383.5072
Производство радио- и телевизионной передающей аппаратуры,26.30.17,2024,4221.4944000000005
Производство прочего коммуникационного оборудования,26.30.19,2024,3123.4667000000004
"Производство оконечного (пользовательского) оборудования телефонной или телеграфной связи, аппаратуры видеосвязи",26.30.2,2024,
"Производство прочих телефонных аппаратов, устройств и аппаратуры для передачи и приема речи, изображений или других данных, включая оборудование коммуникационное для работы в проводных или беспроводных сетях связи (например, локальных и глобальных сетях)",26.30.29,2024,
"Производство антенн, антенных отражателей всех видов и их деталей",26.30.4,2024,
Производство охранно-пожарной сигнализации и аналогичных приборов,26.30.6,2024,150.151
Производство бытовой электроники,26.4,2017,985.4344
Производство бытовой электроники,26.40,2018,505.0373
Производство бытовой электроники,26.40,2019,201.7654
Производство бытовой электроники,26.40,2020,213.2397
Производство бытовой электроники,26.40,2021,186.6935
Производство бытовой электроники,26.40,2022,204.3818
Производство бытовой электроники,26.40,2023,228.578
Производство бытовой электроники,26.40,2024,281.6806
"Производство телевизионных приемников, включая видеомониторы и видеопроекторы",26.40.2,2024,
Производство видеомониторов и видеопроекторов,26.40.23,2024,
Производство аппаратуры для записи и воспроизведения звука и изображения,26.40.3,2024,
Производство электроакустической аппаратуры,26.40.4,2024,
Производство частей звукозаписывающей и звуковоспроизводящей аппаратуры и видеоаппаратуры,26.40.5,2024,
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2017,14195.9802
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2018,13754.2861
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2019,17543.5488
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2020,24456.1048
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2021,27594.9043
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2022,24570.8923
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2023,41034.7435
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2024,46966.2869
"Производство инструментов и приборов для измерения, тестирования и навигации",26.51,2024,46966.2869
"Производство прочих инструментов и приборов для измерения, тестирования и навигации",26.51.02.АГ,2017,9984.7867
"Производство прочих инструментов и приборов для измерения, тестирования и навигации",26.51.02.АГ,2018,8823.600199999999
"Производство прочих инструментов и приборов для измерения, тестирования и навигации",26.51.02.АГ,2019,9646.004
"Производство прочих инструментов и приборов для измерения, тестирования и навигации",26.51.02.АГ,2020,15308.0345
"Производство прочих инструментов и приборов для измерения, тестирования и навигации",26.51.02.АГ,2024,35582.483
"Производство навигационных, метеорологических, геодезических, геофизических и аналогичного типа приборов, аппаратуры и инструментов",26.51.1,2024,8202.9015
Производство приборов и аппаратуры для измерения электрических величин или ионизирующих излучений,26.51.4,2024,958.1611
Производство приборов для контроля прочих физических величин,26.51.5,2024,672.843
"Производство прочих приборов, датчиков, аппаратуры и инструментов для измерения, контроля и испытаний",26.51.6,2024,1506.7104
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.6,2017,469.4809
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.6,2018,408.9463
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.6,2019,219.3656
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.6,2020,133.9244
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.6,2021,158.70520000000002
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.6,2022,278.72270000000003
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.6,2023,500.2763
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.60,2024,705.6004
"Производство аппаратов, применяемых в медицинских целях, основанных на использовании рентгеновского, альфа-, бета- и гамма-излучений",26.60.1,2024,353.47540000000004
"Производство диагностического и терапевтического оборудования, применяемого в медицинских целях",26.60.5,2024,352.125
"Производство оптических приборов, фото- и кинооборудования",26.7,2017,1952.0901
"Производство оптических приборов, фото- и кинооборудования",26.7,2018,744.9566
"Производство оптических приборов, фото- и кинооборудования",26.7,2019,503.6699
"Производство оптических приборов, фото- и кинооборудования",26.7,2020,1111.2178
"Производство оптических приборов, фото- и кинооборудования",26.7,2021,1155.147
"Производство оптических приборов, фото- и кинооборудования",26.7,2022,1046.1041
"Производство оптических приборов, фото- и кинооборудования",26.7,2023,1097.0252
"Производство оптических приборов, фото- и кинооборудования",26.70,2024,938.5669
Производство фото- и кинооборудования,26.70.1,2024,236.6568
Производство оптических систем обнаружения оружия,26.70.3,2024,
Производство оптических прицелов и приборов определения координат целей,26.70.6,2024,190.0285
Производство электрического оборудования,27,2017,3238.1617
Производство электрического оборудования,27,2018,2872.8093
Производство электрического оборудования,27,2019,2946.0435
Производство электрического оборудования,27,2020,2241.0229
Производство электрического оборудования,27,2021,3441.4596
Производство электрического оборудования,27,2022,3358.2241
Производство электрического оборудования,27,2023,4855.0717
Производство электрического оборудования,27,2024,7539.1178
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2017,1826.2212
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2018,1128.0449
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2019,1588.7238
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2020,1601.9622
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2021,1782.7492
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2022,2214.4488
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2023,3358.1769
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2024,4362.0216
"Производство электродвигателей, электрогенераторов и трансформаторов",27.11,2024,1823.9086
"Производство электродвигателей, генераторов и трансформаторов, кроме ремонта",27.11.1,2024,1823.9086
