sector,okved2,year,pinetusage_s
Выращивание семечковых и косточковых культур,01.24,2023.0,0.9722222222222222
Выращивание семечковых и косточковых культур,01.24,2024.0,1.0
"Выращивание прочих плодовых деревьев, кустарников и орехов",01.25,2021.0,0.88
"Выращивание прочих плодовых деревьев, кустарников и орехов",01.25,2022.0,0.9166666666666666
"Выращивание прочих плодовых деревьев, кустарников и орехов",01.25,2023.0,0.9545454545454546
"Выращивание прочих плодовых деревьев, кустарников и орехов",01.25,2024.0,1.0
Выращивание прочих плодовых и ягодных культур,01.25.1,2021.0,0.9090909090909091
Выращивание прочих плодовых и ягодных культур,01.25.1,2022.0,0.9090909090909091
Выращивание прочих плодовых и ягодных культур,01.25.1,2023.0,1.0
Выращивание прочих плодовых и ягодных культур,01.25.1,2024.0,1.0
Выращивание семян плодовых и ягодных культур,01.25.2,2021.0,1.0
Выращивание семян плодовых и ягодных культур,01.25.2,2022.0,1.0
Выращивание семян плодовых и ягодных культур,01.25.2,2023.0,1.0
Выращивание семян плодовых и ягодных культур,01.25.2,2024.0,1.0
Выращивание орехоплодных культур,01.25.3,2021.0,
Выращивание орехоплодных культур,01.25.3,2023.0,
Выращивание плодов масличных культур,01.26,2021.0,1.0
Выращивание плодов масличных культур,01.26,2022.0,1.0
Выращивание плодов масличных культур,01.26,2024.0,
Выращивание культур для производства напитков,01.27,2021.0,1.0
Выращивание культур для производства напитков,01.27,2022.0,
Выращивание культур для производства напитков,01.27,2023.0,
Выращивание чая,01.27.1,2021.0,1.0
"Выращивание специй, пряно-ароматических, эфиромасличных и лекарственных культур",01.28,2021.0,1.0
"Выращивание специй, пряно-ароматических, эфиромасличных и лекарственных культур",01.28,2022.0,1.0
"Выращивание специй, пряно-ароматических, эфиромасличных и лекарственных культур",01.28,2023.0,1.0
"Выращивание специй, пряно-ароматических, эфиромасличных и лекарственных культур",01.28,2024.0,0.6
Выращивание хмеля,01.28.2,2024.0,0.5
"Выращивание растений, используемых в основном в парфюмерии, фармации или в качестве инсектицидов, фунгицидов и для аналогичных целей",01.28.3,2023.0,
Выращивание прочих многолетних культур,01.29,2021.0,1.0
Выращивание прочих многолетних культур,01.29,2022.0,1.0
Выращивание прочих многолетних культур,01.29,2023.0,1.0
Выращивание прочих многолетних культур,01.29,2024.0,1.0
Выращивание рассады,01.30,2019.0,1.0
Выращивание рассады,01.30,2021.0,0.8181818181818182
Выращивание рассады,01.30,2022.0,1.0
Выращивание рассады,01.30,2023.0,1.0
Выращивание рассады,01.30,2024.0,0.875
Животноводство,01.4,2019.0,0.9928861788617886
Животноводство,01.4,2021.0,0.9504678040726472
Животноводство,01.4,2022.0,0.9643274853801169
Животноводство,01.4,2023.0,0.9897280966767371
Животноводство,01.4,2024.0,0.9776119402985075
"Разведение молочного крупного рогатого скота, производство сырого молока",01.41,2021.0,0.9601449275362319
"Разведение молочного крупного рогатого скота, производство сырого молока",01.41,2022.0,0.9695780176643768
"Разведение молочного крупного рогатого скота, производство сырого молока",01.41,2023.0,0.9969574036511156
"Разведение молочного крупного рогатого скота, производство сырого молока",01.41,2024.0,0.9862142099681867
Разведение молочного крупного рогатого скота,01.41.1,2021.0,0.965034965034965
Разведение молочного крупного рогатого скота,01.41.1,2022.0,0.9789473684210527
Разведение молочного крупного рогатого скота,01.41.1,2023.0,0.9972972972972973
Разведение молочного крупного рогатого скота,01.41.1,2024.0,0.9882005899705014
"Разведение молочного крупного рогатого скота, кроме племенного",01.41.11,2021.0,0.9619377162629758
"Разведение молочного крупного рогатого скота, кроме племенного",01.41.11,2022.0,0.9718875502008032
"Разведение молочного крупного рогатого скота, кроме племенного",01.41.11,2023.0,0.9957627118644068
"Разведение молочного крупного рогатого скота, кроме племенного",01.41.11,2024.0,0.9904761904761905
Разведение племенного молочного крупного рогатого скота,01.41.12,2021.0,0.9701492537313433
Разведение племенного молочного крупного рогатого скота,01.41.12,2022.0,0.9921875
Разведение племенного молочного крупного рогатого скота,01.41.12,2023.0,1.0
Разведение племенного молочного крупного рогатого скота,01.41.12,2024.0,0.983739837398374
"Производство сырого коровьего молока и сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.2,2021.0,0.96
"Производство сырого коровьего молока и сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.2,2022.0,0.9676258992805755
"Производство сырого коровьего молока и сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.2,2023.0,1.0
"Производство сырого коровьего молока и сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.2,2024.0,0.9980276134122288
Производство сырого коровьего молока,01.41.21,2021.0,0.9610619469026549
Производство сырого коровьего молока,01.41.21,2022.0,0.967391304347826
Производство сырого коровьего молока,01.41.21,2023.0,1.0
Производство сырого коровьего молока,01.41.21,2024.0,0.9979959919839679
"Производство сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.29,2021.0,0.75
"Производство сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.29,2022.0,1.0
"Производство сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.29,2023.0,1.0
"Производство сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.29,2024.0,1.0
"Разведение прочих пород крупного рогатого скота и буйволов, производство спермы",01.42,2021.0,0.9295774647887324
"Разведение прочих пород крупного рогатого скота и буйволов, производство спермы",01.42,2022.0,0.9333333333333333
"Разведение прочих пород крупного рогатого скота и буйволов, производство спермы",01.42,2023.0,0.9818181818181818
"Разведение прочих пород крупного рогатого скота и буйволов, производство спермы",01.42,2024.0,0.9464285714285714
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.1,2021.0,0.9565217391304348
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.1,2022.0,0.9354838709677419
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.1,2023.0,0.9615384615384616
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.1,2024.0,0.8888888888888888
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др., на мясо",01.42.11,2021.0,1.0
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др., на мясо",01.42.11,2022.0,0.95
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др., на мясо",01.42.11,2023.0,0.9473684210526315
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др., на мясо",01.42.11,2024.0,0.9411764705882353
"Разведение племенного мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.12,2021.0,0.75
"Разведение племенного мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.12,2022.0,1.0
"Разведение племенного мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.12,2023.0,1.0
"Разведение племенного мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.12,2024.0,1.0
"Производство бычьей спермы, а также спермы буйволов, яков и др.",01.42.2,2021.0,0.88
"Производство бычьей спермы, а также спермы буйволов, яков и др.",01.42.2,2022.0,0.9259259259259259
"Производство бычьей спермы, а также спермы буйволов, яков и др.",01.42.2,2023.0,1.0
"Производство бычьей спермы, а также спермы буйволов, яков и др.",01.42.2,2024.0,1.0
Разведение лошадей и прочих животных семейства лошадиных отряда непарнокопытных,01.43,2021.0,0.8
Разведение лошадей и прочих животных семейства лошадиных отряда непарнокопытных,01.43,2022.0,1.0
Разведение лошадей и прочих животных семейства лошадиных отряда непарнокопытных,01.43,2023.0,0.9
Разведение лошадей и прочих животных семейства лошадиных отряда непарнокопытных,01.43,2024.0,0.85
"Разведение лошадей, ослов, мулов, лошаков",01.43.1,2021.0,0.782608695652174
"Разведение лошадей, ослов, мулов, лошаков",01.43.1,2022.0,1.0
"Разведение лошадей, ослов, мулов, лошаков",01.43.1,2023.0,0.8888888888888888
"Разведение лошадей, ослов, мулов, лошаков",01.43.1,2024.0,0.8235294117647058
Разведение верблюдов и прочих животных семейства верблюжьих,01.44,2021.0,1.0
Разведение верблюдов и прочих животных семейства верблюжьих,01.44,2023.0,1.0
Разведение овец и коз,01.45,2021.0,0.75
Разведение овец и коз,01.45,2024.0,0.8888888888888888
Разведение овец и коз,01.45.1,2021.0,0.7272727272727273
Разведение овец и коз,01.45.1,2022.0,0.8260869565217391
Разведение овец и коз,01.45.1,2023.0,1.0
Разведение овец и коз,01.45.1,2024.0,0.8571428571428571
Производство сырого овечьего и козьего молока,01.45.2,2023.0,1.0
Производство сырой (немытой) шерсти и волоса козы,01.45.3,2022.0,
Производство сырой (немытой) шерсти и волоса козы,01.45.3,2023.0,
Производство сырой (немытой) шерсти и волоса козы,01.45.3,2024.0,
Разведение племенных овец и коз,01.45.4,2021.0,1.0
Разведение племенных овец и коз,01.45.4,2022.0,
Разведение племенных овец и коз,01.45.4,2023.0,1.0
Разведение племенных овец и коз,01.45.4,2024.0,1.0
Разведение свиней,01.46,2021.0,0.9805825242718447
Разведение свиней,01.46,2022.0,0.9855072463768116
Разведение свиней,01.46,2023.0,0.9895833333333334
Разведение свиней,01.46,2024.0,1.0
Выращивание и разведение свиней,01.46.1,2021.0,0.9829545454545454
Выращивание и разведение свиней,01.46.1,2022.0,0.9883720930232558
Выращивание и разведение свиней,01.46.1,2023.0,0.9938650306748467
Выращивание и разведение свиней,01.46.1,2024.0,1.0
Выращивание свиней на мясо,01.46.11,2021.0,0.9825581395348837
Выращивание свиней на мясо,01.46.11,2022.0,0.9881656804733728
Выращивание свиней на мясо,01.46.11,2023.0,0.99375
Выращивание свиней на мясо,01.46.11,2024.0,1.0
Разведение племенного поголовья свиней,01.46.12,2021.0,1.0
Разведение племенного поголовья свиней,01.46.12,2022.0,1.0
Разведение племенного поголовья свиней,01.46.12,2023.0,1.0
Разведение племенного поголовья свиней,01.46.12,2024.0,1.0
Разведение сельскохозяйственной птицы,01.47,2021.0,0.9429530201342282
Разведение сельскохозяйственной птицы,01.47,2022.0,0.9488817891373802
Разведение сельскохозяйственной птицы,01.47,2023.0,0.9731543624161074
Разведение сельскохозяйственной птицы,01.47,2024.0,0.9863481228668942
"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",01.47.1,2021.0,0.956140350877193
"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",01.47.1,2022.0,1.0
"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",01.47.1,2023.0,1.0
"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",01.47.1,2024.0,0.9797979797979798
Выращивание сельскохозяйственной птицы на мясо,01.47.11,2021.0,0.9425287356321839
Выращивание сельскохозяйственной птицы на мясо,01.47.11,2022.0,1.0
Выращивание сельскохозяйственной птицы на мясо,01.47.11,2023.0,1.0
Выращивание сельскохозяйственной птицы на мясо,01.47.11,2024.0,0.987012987012987
Разведение племенной сельскохозяйственной птицы,01.47.12,2021.0,1.0
Разведение племенной сельскохозяйственной птицы,01.47.12,2022.0,1.0
Разведение племенной сельскохозяйственной птицы,01.47.12,2023.0,1.0
Разведение племенной сельскохозяйственной птицы,01.47.12,2024.0,0.95
Производство яиц сельскохозяйственной птицы,01.47.2,2021.0,0.8983050847457628
Производство яиц сельскохозяйственной птицы,01.47.2,2022.0,0.9098360655737705
Производство яиц сельскохозяйственной птицы,01.47.2,2023.0,0.9421487603305785
Производство яиц сельскохозяйственной птицы,01.47.2,2024.0,1.0
Деятельность инкубаторов для птицеводства,01.47.3,2021.0,1.0
Деятельность инкубаторов для птицеводства,01.47.3,2022.0,1.0
Деятельность инкубаторов для птицеводства,01.47.3,2023.0,1.0
Деятельность инкубаторов для птицеводства,01.47.3,2024.0,1.0
Разведение прочих животных,01.49,2021.0,0.9210526315789473
Разведение прочих животных,01.49,2022.0,0.9577464788732394
Разведение прочих животных,01.49,2023.0,0.9868421052631579
Разведение прочих животных,01.49,2024.0,0.8717948717948718
Пчеловодство,01.49.1,2021.0,1.0
Пчеловодство,01.49.1,2022.0,1.0
Пчеловодство,01.49.1,2024.0,0.75
Пчеловодство медового направления,01.49.11,2021.0,1.0
Пчеловодство медового направления,01.49.11,2022.0,1.0
Пчеловодство медового направления,01.49.11,2024.0,1.0
Пчеловодство опылительного направления,01.49.12,2021.0,1.0
Разведение кроликов и прочих пушных зверей на фермах,01.49.2,2021.0,1.0
Разведение кроликов и прочих пушных зверей на фермах,01.49.2,2022.0,1.0
Разведение кроликов и прочих пушных зверей на фермах,01.49.2,2023.0,1.0
Разведение кроликов и прочих пушных зверей на фермах,01.49.2,2024.0,1.0
"Разведение кроликов, производство тонкого волоса кроликов на фермах",01.49.21,2021.0,
"Разведение кроликов, производство тонкого волоса кроликов на фермах",01.49.21,2022.0,
"Разведение кроликов, производство тонкого волоса кроликов на фермах",01.49.21,2023.0,
"Разведение кроликов, производство тонкого волоса кроликов на фермах",01.49.21,2024.0,
Разведение прочих пушных зверей на фермах,01.49.22,2021.0,1.0
Разведение прочих пушных зверей на фермах,01.49.22,2022.0,1.0
Разведение прочих пушных зверей на фермах,01.49.22,2023.0,1.0
Разведение прочих пушных зверей на фермах,01.49.22,2024.0,1.0
Разведение шелкопряда,01.49.3,2021.0,
Разведение шелкопряда,01.49.3,2022.0,
Разведение шелкопряда,01.49.3,2024.0,
Разведение оленей,01.49.4,2021.0,0.9310344827586207
Разведение оленей,01.49.4,2022.0,0.9803921568627451
Разведение оленей,01.49.4,2023.0,1.0
Разведение оленей,01.49.4,2024.0,0.9137931034482759
Разведение домашних северных оленей,01.49.41,2021.0,0.9090909090909091
Разведение домашних северных оленей,01.49.41,2022.0,0.9642857142857143
Разведение домашних северных оленей,01.49.41,2023.0,1.0
Разведение домашних северных оленей,01.49.41,2024.0,0.9428571428571428
"Разведение благородных оленей (европейских, кавказских, маралов, изюбрей)",01.49.43,2021.0,1.0
"Разведение благородных оленей (европейских, кавказских, маралов, изюбрей)",01.49.43,2022.0,1.0
"Разведение благородных оленей (европейских, кавказских, маралов, изюбрей)",01.49.43,2023.0,1.0
"Разведение благородных оленей (европейских, кавказских, маралов, изюбрей)",01.49.43,2024.0,1.0
"Производство пантов северных оленей, пятнистых оленей, благородных оленей (европейских, кавказских, маралов, изюбрей), ланей",01.49.44,2021.0,1.0
"Производство пантов северных оленей, пятнистых оленей, благородных оленей (европейских, кавказских, маралов, изюбрей), ланей",01.49.44,2022.0,1.0
"Производство пантов северных оленей, пятнистых оленей, благородных оленей (европейских, кавказских, маралов, изюбрей), ланей",01.49.44,2023.0,1.0
Разведение домашних животных,01.49.5,2021.0,
Разведение домашних животных,01.49.5,2022.0,
Разведение домашних животных,01.49.5,2023.0,
Разведение домашних животных,01.49.5,2024.0,0.5
Разведение лабораторных животных,01.49.6,2021.0,1.0
Разведение лабораторных животных,01.49.6,2022.0,1.0
Разведение лабораторных животных,01.49.6,2023.0,1.0
Разведение лабораторных животных,01.49.6,2024.0,1.0
"Разведение прочих животных, не включенных в другие группировки",01.49.9,2021.0,0.6666666666666666
"Разведение прочих животных, не включенных в другие группировки",01.49.9,2022.0,0.5
"Разведение прочих животных, не включенных в другие группировки",01.49.9,2023.0,1.0
"Разведение прочих животных, не включенных в другие группировки",01.49.9,2024.0,1.0
Смешанное сельское хозяйство,01.5,2019.0,0.9767441860465116
Смешанное сельское хозяйство,01.50,2021.0,0.9
Смешанное сельское хозяйство,01.50,2022.0,0.9081632653061225
Смешанное сельское хозяйство,01.50,2023.0,0.9583333333333334
Смешанное сельское хозяйство,01.50,2024.0,0.9159663865546218
Деятельность вспомогательная в области производства сельскохозяйственных культур и послеуборочной обработки сельхозпродукции,01.6,2019.0,0.9942307692307693
Деятельность вспомогательная в области производства сельскохозяйственных культур и послеуборочной обработки сельхозпродукции,01.6,2021.0,0.948339483394834
Деятельность вспомогательная в области производства сельскохозяйственных культур и послеуборочной обработки сельхозпродукции,01.6,2022.0,0.9684601113172542
Деятельность вспомогательная в области производства сельскохозяйственных культур и послеуборочной обработки сельхозпродукции,01.6,2023.0,0.9867924528301887
Деятельность вспомогательная в области производства сельскохозяйственных культур и послеуборочной обработки сельхозпродукции,01.6,2024.0,0.9619047619047619
Предоставление услуг в области растениеводства,01.61,2021.0,0.9467455621301775
Предоставление услуг в области растениеводства,01.61,2022.0,0.9720558882235529
Предоставление услуг в области растениеводства,01.61,2023.0,0.9918032786885246
Предоставление услуг в области растениеводства,01.61,2024.0,0.975103734439834
Предоставление услуг в области животноводства,01.62,2021.0,0.9642857142857143
Предоставление услуг в области животноводства,01.62,2022.0,0.8888888888888888
Предоставление услуг в области животноводства,01.62,2023.0,0.9
Предоставление услуг в области животноводства,01.62,2024.0,0.7142857142857143
Деятельность сельскохозяйственная после сбора урожая,01.63,2021.0,1.0
Деятельность сельскохозяйственная после сбора урожая,01.63,2022.0,1.0
Деятельность сельскохозяйственная после сбора урожая,01.63,2023.0,1.0
Деятельность сельскохозяйственная после сбора урожая,01.63,2024.0,1.0
Обработка семян для посадки,01.64,2021.0,1.0
Обработка семян для посадки,01.64,2022.0,1.0
Обработка семян для посадки,01.64,2023.0,1.0
Обработка семян для посадки,01.64,2024.0,1.0
"Охота, отлов и отстрел диких животных, включая предоставление услуг в этих областях",01.70,2019.0,1.0
"Охота, отлов и отстрел диких животных, включая предоставление услуг в этих областях",01.70,2021.0,0.875
"Охота, отлов и отстрел диких животных, включая предоставление услуг в этих областях",01.70,2022.0,0.8888888888888888
"Охота, отлов и отстрел диких животных, включая предоставление услуг в этих областях",01.70,2023.0,0.9310344827586207
"Охота, отлов и отстрел диких животных, включая предоставление услуг в этих областях",01.70,2024.0,0.9159663865546218
Лесоводство и лесозаготовки,02,2017.0,0.9800936768149883
Лесоводство и лесозаготовки,02,2018.0,0.9828349944629015
Лесоводство и лесозаготовки,02,2019.0,0.9949164851125636
Лесоводство и лесозаготовки,02,2021.0,0.9686567164179104
Лесоводство и лесозаготовки,02,2022.0,0.9722436391673092
Лесоводство и лесозаготовки,02,2023.0,0.9953125
Лесоводство и лесозаготовки,02,2024.0,0.9892966360856269
Лесоводство и прочая лесохозяйственная деятельность,02.10,2021.0,0.9830747531734838
Лесоводство и прочая лесохозяйственная деятельность,02.10,2022.0,0.9875173370319001
Лесоводство и прочая лесохозяйственная деятельность,02.10,2023.0,0.9958791208791209
